ds,location_index,rbd_index,t0_index,n_bg_isolates_target,n_isolates_target_cusum,location,rbd_name,t0,n_bg_isolates,n_bg_clusters,target_isolates_t0,total_isolates_t0,target_ratio_t0,rbd_name_mut
major_test,0,0,0,0.0,0.0,Global,r0,2019-12-24,0.0,0,0.2857143,0.2857143,1.0,WT
major_test,0,0,1,0.2857143,0.2857143,Global,r0,2019-12-25,0.2857143,1,0.2857143,0.2857143,1.0,WT
major_test,0,0,2,0.5714286,0.5714286,Global,r0,2019-12-26,0.5714286,1,0.2857143,0.2857143,1.0,WT
major_test,0,0,3,0.8571429,0.8571429,Global,r0,2019-12-27,0.8571429,1,3.0,3.0,1.0,WT
major_test,0,0,4,3.857143,3.857143,Global,r0,2019-12-28,3.857143,1,2.857143,2.857143,1.0,WT
major_test,0,0,5,6.714286,6.714286,Global,r0,2019-12-29,6.714286,1,3.5714285,3.5714285,1.0,WT
major_test,0,0,6,10.285714,10.285714,Global,r0,2019-12-30,10.285714,1,3.7142856,3.7142856,1.0,WT
major_test,0,0,7,14.0,14.0,Global,r0,2019-12-31,14.0,1,3.857143,3.857143,1.0,WT
major_test,0,0,8,17.857143,17.857143,Global,r0,2020-01-01,17.857143,1,4.0,4.0,1.0,WT
major_test,0,0,9,21.857143,21.857143,Global,r0,2020-01-02,21.857143,1,4.285714,4.285714,1.0,WT
major_test,0,0,10,26.142857,26.142857,Global,r0,2020-01-03,26.142857,1,1.5714285,1.5714285,1.0,WT
major_test,0,0,11,27.714285,27.714285,Global,r0,2020-01-04,27.714285,1,1.5714285,1.5714285,1.0,WT
major_test,0,0,12,29.285713,29.285713,Global,r0,2020-01-05,29.285713,1,1.0,1.0,1.0,WT
major_test,0,0,13,30.285713,30.285713,Global,r0,2020-01-06,30.285713,1,0.85714287,0.85714287,1.0,WT
major_test,0,0,14,31.142857,31.142857,Global,r0,2020-01-07,31.142857,1,4.285714,4.428571,0.96774197,WT
major_test,0,0,15,35.42857,35.42857,Global,r0,2020-01-08,35.571426,2,4.571429,4.714286,0.969697,WT
major_test,0,0,16,40.0,40.0,Global,r0,2020-01-09,40.285713,2,4.285714,4.428571,0.96774197,WT
major_test,0,0,17,44.285713,44.285713,Global,r0,2020-01-10,44.714287,2,5.0,5.142857,0.9722222,WT
major_test,0,0,18,49.285713,49.285713,Global,r0,2020-01-11,49.857143,2,5.142857,5.571429,0.92307687,WT
major_test,0,0,19,54.42857,54.42857,Global,r0,2020-01-12,55.42857,3,5.571429,6.0,0.92857146,WT
major_test,0,0,20,60.0,60.0,Global,r0,2020-01-13,61.42857,3,5.857143,6.428571,0.9111112,WT
major_test,0,0,21,65.85714,65.85714,Global,r0,2020-01-14,67.71429,3,3.2857144,3.7142856,0.8846154,WT
major_test,0,0,22,69.14286,69.14285,Global,r0,2020-01-15,71.28571,3,3.5714285,4.0,0.89285713,WT
major_test,0,0,23,72.71429,72.71428,Global,r0,2020-01-16,75.14286,3,5.0,7.142857,0.7,WT
major_test,0,0,24,77.71429,77.71428,Global,r0,2020-01-17,82.14286,4,5.571429,7.857143,0.70909095,WT
major_test,0,0,25,83.28571,83.285706,Global,r0,2020-01-18,89.85714,5,8.857142,10.857142,0.81578946,WT
major_test,0,0,26,92.14286,92.142845,Global,r0,2020-01-19,100.57143,5,11.142858,13.428572,0.82978725,WT
major_test,0,0,27,103.28571,103.285706,Global,r0,2020-01-20,113.85714,6,13.857142,16.285715,0.8508771,WT
major_test,0,0,28,117.14286,117.142845,Global,r0,2020-01-21,130.14285,6,16.142857,18.571428,0.86923075,WT
