ds,location_index,spike_index,t0_index,n_bg_isolates_target,n_isolates_target_cusum,location,spike_name,t0,n_bg_isolates,n_bg_clusters,target_isolates_t0,total_isolates_t0,target_ratio_t0,spike_name_mut
major_test,0,3762,0,0.0,0.0,Global,s164986,2019-12-24,0.0,0,0.2857143,0.2857143,1.0,WT
major_test,0,3762,1,0.2857143,0.2857143,Global,s164986,2019-12-25,0.2857143,1,0.2857143,0.2857143,1.0,WT
major_test,0,3762,2,0.5714286,0.5714286,Global,s164986,2019-12-26,0.5714286,1,0.2857143,0.2857143,1.0,WT
major_test,0,3762,3,0.8571429,0.8571429,Global,s164986,2019-12-27,0.8571429,1,2.7142856,3.0,0.90476185,WT
major_test,0,3762,4,3.5714285,3.5714285,Global,s164986,2019-12-28,3.5714285,1,2.5714285,2.857143,0.9,WT
major_test,0,3762,5,6.142857,6.142857,Global,s164986,2019-12-29,6.142857,1,3.0,3.5714285,0.84000003,WT
major_test,0,3762,6,9.142857,9.142857,Global,s164986,2019-12-30,9.285714,2,3.142857,3.7142856,0.84615386,WT
major_test,0,3762,7,12.285714,12.285713,Global,s164986,2019-12-31,12.571428,2,3.2857144,3.857143,0.8518519,WT
major_test,0,3762,8,15.571428,15.571427,Global,s164986,2020-01-01,16.0,2,3.2857144,4.0,0.8214286,WT
major_test,0,3762,9,18.857143,18.857141,Global,s164986,2020-01-02,19.571428,3,3.4285715,4.285714,0.8,WT
major_test,0,3762,10,22.285715,22.285713,Global,s164986,2020-01-03,23.285715,3,1.0,1.5714285,0.6363636,WT
major_test,0,3762,11,23.285715,23.285713,Global,s164986,2020-01-04,24.571428,3,1.0,1.5714285,0.6363636,WT
major_test,0,3762,12,24.285715,24.285713,Global,s164986,2020-01-05,25.857143,3,0.71428573,1.0,0.71428573,WT
major_test,0,3762,13,25.0,24.999998,Global,s164986,2020-01-06,26.714287,3,0.42857143,0.85714287,0.5,WT
major_test,0,3762,14,25.428572,25.42857,Global,s164986,2020-01-07,27.428572,3,0.42857143,4.428571,0.0967742,WT
major_test,0,3762,15,25.857143,25.857141,Global,s164986,2020-01-08,31.285715,5,0.85714287,4.714286,0.18181817,WT
major_test,0,3762,16,26.714285,26.714285,Global,s164986,2020-01-09,35.428574,5,0.71428573,4.428571,0.16129033,WT
major_test,0,3762,17,27.428572,27.42857,Global,s164986,2020-01-10,39.428574,5,1.2857143,5.142857,0.25,WT
major_test,0,3762,18,28.714285,28.714285,Global,s164986,2020-01-11,44.0,5,1.4285715,5.571429,0.25641024,WT
major_test,0,3762,19,30.142857,30.142857,Global,s164986,2020-01-12,48.714287,5,1.8571428,6.0,0.3095238,WT
major_test,0,3762,20,32.0,32.0,Global,s164986,2020-01-13,53.857143,5,2.2857144,6.428571,0.3555556,WT
major_test,0,3762,21,34.285713,34.285713,Global,s164986,2020-01-14,59.285713,5,2.5714285,3.7142856,0.6923077,WT
major_test,0,3762,22,36.857143,36.857143,Global,s164986,2020-01-15,62.142857,7,2.5714285,4.0,0.64285713,WT
major_test,0,3762,23,39.42857,39.428574,Global,s164986,2020-01-16,65.14286,7,3.7142856,7.142857,0.52,WT
major_test,0,3762,24,43.142857,43.14286,Global,s164986,2020-01-17,70.85714,8,4.142857,7.857143,0.5272727,WT
major_test,0,3762,25,47.285713,47.285717,Global,s164986,2020-01-18,77.14286,9,6.857143,10.857142,0.631579,WT
major_test,0,3762,26,54.142857,54.14286,Global,s164986,2020-01-19,86.28571,9,8.857142,13.428572,0.65957445,WT
major_test,0,3762,27,63.0,63.000004,Global,s164986,2020-01-20,97.57143,9,11.0,16.285715,0.6754386,WT
major_test,0,3762,28,74.0,74.0,Global,s164986,2020-01-21,111.14286,10,13.285714,18.571428,0.7153846,WT
major_test,0,3762,29,87.28571,87.28571,Global,s164986,2020-01-22,127.0,10,18.857143,24.571428,0.76744187,WT
major_test,0,3762,30,106.14286,106.14285,Global,s164986,2020-01-23,148.57143,11,23.0,27.714285,0.8298969,WT
major_test,0,3762,31,129.14285,129.14285,Global,s164986,2020-01-24,173.14285,13,26.428572,32.142857,0.82222223,WT
major_test,0,3762,32,155.57143,155.57143,Global,s164986,2020-01-25,201.85715,14,26.0,32.42857,0.80176216,WT
major_test,0,3762,33,181.57143,181.57143,Global,s164986,2020-01-26,230.85715,14,29.428572,37.42857,0.7862596,WT
major_test,0,3762,34,211.0,211.0,Global,s164986,2020-01-27,264.7143,16,32.142857,40.42857,0.795053,WT
major_test,0,3762,35,243.14285,243.14285,Global,s164986,2020-01-28,301.42856,16,33.0,41.285713,0.799308,WT
major_test,0,3762,36,276.14285,276.14285,Global,s164986,2020-01-29,338.7143,16,30.714285,40.714287,0.75438595,WT
major_test,0,3762,37,306.85715,306.85715,Global,s164986,2020-01-30,374.57144,18,30.428572,41.857143,0.72696245,WT
major_test,0,3762,38,337.2857,337.2857,Global,s164986,2020-01-31,410.85715,22,30.571428,41.285713,0.7404844,WT
major_test,0,3762,39,367.85715,367.85715,Global,s164986,2020-02-01,446.7143,22,31.0,42.142857,0.73559326,WT
major_test,0,3762,40,398.85715,398.85715,Global,s164986,2020-02-02,482.57144,23,29.285715,40.0,0.73214287,WT
major_test,0,3762,41,428.14285,428.14285,Global,s164986,2020-02-03,515.8571,23,28.857143,39.285713,0.73454547,WT
major_test,0,3762,42,457.0,457.0,Global,s164986,2020-02-04,548.7143,23,29.571428,41.142857,0.71875,WT
major_test,0,3762,43,486.57144,486.57144,Global,s164986,2020-02-05,583.8571,25,32.0,43.0,0.74418604,WT
major_test,0,3762,44,518.5714,518.5714,Global,s164986,2020-02-06,621.4286,25,30.0,41.714287,0.7191781,WT
major_test,0,3762,45,548.5714,548.5714,Global,s164986,2020-02-07,657.0,25,28.0,41.285713,0.6782007,WT
major_test,0,3762,46,576.5714,576.5714,Global,s164986,2020-02-08,691.1429,26,28.857143,41.857143,0.6894198,WT
major_test,0,3762,47,605.4286,605.4285,Global,s164986,2020-02-09,726.0,26,26.571428,38.714287,0.6863468,WT
major_test,0,3762,48,632.0,631.99994,Global,s164986,2020-02-10,758.1429,27,24.285715,36.42857,0.66666675,WT
major_test,0,3762,49,656.2857,656.28564,Global,s164986,2020-02-11,788.2857,27,23.285715,34.285713,0.67916673,WT
major_test,0,3762,50,679.5714,679.57135,Global,s164986,2020-02-12,815.8571,27,23.857143,33.857143,0.70464134,WT
major_test,0,3762,51,703.4286,703.42847,Global,s164986,2020-02-13,843.1429,27,25.142857,33.285713,0.75536484,WT
major_test,0,3762,52,728.5714,728.57135,Global,s164986,2020-02-14,871.1429,28,29.285715,36.142857,0.8102767,WT
major_test,0,3762,53,757.8571,757.85706,Global,s164986,2020-02-15,902.7143,28,28.714285,36.0,0.79761904,WT
major_test,0,3762,54,786.5714,786.57135,Global,s164986,2020-02-16,933.8571,28,29.857143,38.142857,0.7827716,WT
major_test,0,3762,55,816.4286,816.42847,Global,s164986,2020-02-17,966.8571,28,33.142857,42.142857,0.7864407,WT
major_test,0,3762,56,849.5714,849.57135,Global,s164986,2020-02-18,1003.1429,28,35.57143,46.42857,0.76615393,WT
