ds,location_index,rbd_index,t0_index,n_bg_isolates_target,n_isolates_target_cusum,location,rbd_name,t0,n_bg_isolates,n_bg_clusters,target_isolates_t0,total_isolates_t0,target_ratio_t0,rbd_name_mut
major_test,3,840,1866,0.0,0.0,Asia,r1585,2025-02-01,14633.0,92,0.14285715,49.285713,0.0028985508251935244,NB.1.8.1
major_test,3,840,1867,0.14285715,0.14285715,Asia,r1585,2025-02-02,14474.286,92,0.14285715,55.142857,0.002590673742815852,NB.1.8.1
major_test,3,840,1868,0.2857143,0.2857143,Asia,r1585,2025-02-03,14329.429,91,0.2857143,58.0,0.004926108755171299,NB.1.8.1
major_test,3,840,1869,0.5714286,0.5714286,Asia,r1585,2025-02-04,14196.714,91,0.2857143,55.857143,0.005115089472383261,NB.1.8.1
major_test,3,840,1870,0.8571429,0.8571429,Asia,r1585,2025-02-05,14067.429,90,0.2857143,55.142857,0.005181347485631704,NB.1.8.1
major_test,3,840,1871,1.1428572,1.1428572,Asia,r1585,2025-02-06,13949.857,90,0.2857143,56.42857,0.005063291639089584,NB.1.8.1
major_test,3,840,1872,1.4285715,1.4285715,Asia,r1585,2025-02-07,13834.857,90,0.2857143,54.0,0.0052910055965185165,NB.1.8.1
major_test,3,840,1873,1.7142859,1.7142857,Asia,r1585,2025-02-08,13721.286,90,0.14285715,49.0,0.0029154520016163588,NB.1.8.1
major_test,3,840,1874,1.8571429,1.8571429,Asia,r1585,2025-02-09,13608.429,90,0.14285715,46.0,0.003105590119957924,NB.1.8.1
major_test,3,840,1875,2.0,2.0,Asia,r1585,2025-02-10,13490.0,90,0.0,43.857143,0.0,NB.1.8.1
major_test,3,840,1876,2.0,2.0,Asia,r1585,2025-02-11,13363.857,90,0.0,45.57143,0.0,NB.1.8.1
major_test,3,840,1877,2.0,2.0,Asia,r1585,2025-02-12,13239.429,89,0.0,45.57143,0.0,NB.1.8.1
major_test,3,840,1878,2.0,2.0,Asia,r1585,2025-02-13,13105.429,89,0.0,44.42857,0.0,NB.1.8.1
major_test,3,840,1879,2.0,2.0,Asia,r1585,2025-02-14,12975.715,89,0.0,45.714287,0.0,NB.1.8.1
major_test,3,840,1880,2.0,2.0,Asia,r1585,2025-02-15,12846.286,90,0.0,48.714287,0.0,NB.1.8.1
major_test,3,840,1881,2.0,2.0,Asia,r1585,2025-02-16,12720.143,90,0.0,46.0,0.0,NB.1.8.1
major_test,3,840,1882,2.0,2.0,Asia,r1585,2025-02-17,12591.286,90,0.0,46.142857,0.0,NB.1.8.1
