t0,location,spike_name,t1,target_ratio_t1_output,ds,location_index,spike_index,t0_index,n_bg_isolates_target,n_isolates_target_cusum,n_bg_isolates,n_bg_clusters,target_isolates_t0,total_isolates_t0,target_ratio_t0,spike_name_mut,target_isolates_t1,total_isolates_t1,target_ratio_t1_label,target_ratio_t1_mask
2019-12-24,Global,s164986,30,0.004951708018779755,major_test,0,3762,0,0.0,0.0,0.0,0,0.2857143,0.2857143,1.0,WT,23.0,27.714285,0.8298969,0
2019-12-25,Global,s164986,30,0.5746726393699646,major_test,0,3762,1,0.2857143,0.2857143,0.2857143,1,0.2857143,0.2857143,1.0,WT,26.428572,32.142857,0.82222223,0
2019-12-26,Global,s164986,30,0.5747234225273132,major_test,0,3762,2,0.5714286,0.5714286,0.5714286,1,0.2857143,0.2857143,1.0,WT,26.0,32.42857,0.80176216,0
2019-12-27,Global,s164986,30,0.5750161409378052,major_test,0,3762,3,0.8571429,0.8571429,0.8571429,1,2.7142856,3.0,0.90476185,WT,29.428572,37.42857,0.7862596,0
2019-12-28,Global,s164986,30,0.6079642176628113,major_test,0,3762,4,3.5714285,3.5714285,3.5714285,1,2.5714285,2.857143,0.9,WT,32.142857,40.42857,0.795053,0
2019-12-29,Global,s164986,30,0.6080183386802673,major_test,0,3762,5,6.142857,6.142857,6.142857,1,3.0,3.5714285,0.84000003,WT,33.0,41.285713,0.799308,0
2019-12-30,Global,s164986,30,0.6120304465293884,major_test,0,3762,6,9.142857,9.142857,9.285714,2,3.142857,3.7142856,0.84615386,WT,30.714285,40.714287,0.75438595,0
2019-12-31,Global,s164986,30,0.6133772730827332,major_test,0,3762,7,12.285714,12.285713,12.571428,2,3.2857144,3.857143,0.8518519,WT,30.428572,41.857143,0.72696245,0
2020-01-01,Global,s164986,30,0.6131160855293274,major_test,0,3762,8,15.571428,15.571427,16.0,2,3.2857144,4.0,0.8214286,WT,30.571428,41.285713,0.7404844,0
2020-01-02,Global,s164986,30,0.6151928305625916,major_test,0,3762,9,18.857143,18.857141,19.571428,3,3.4285715,4.285714,0.8,WT,31.0,42.142857,0.73559326,0
2020-01-03,Global,s164986,30,0.6128795742988586,major_test,0,3762,10,22.285715,22.285713,23.285715,3,1.0,1.5714285,0.6363636,WT,29.285715,40.0,0.73214287,0
2020-01-04,Global,s164986,30,0.609133243560791,major_test,0,3762,11,23.285715,23.285713,24.571428,3,1.0,1.5714285,0.6363636,WT,28.857143,39.285713,0.73454547,0
2020-01-05,Global,s164986,30,0.6074379682540894,major_test,0,3762,12,24.285715,24.285713,25.857143,3,0.71428573,1.0,0.71428573,WT,29.571428,41.142857,0.71875,0
2020-01-06,Global,s164986,30,0.5968915820121765,major_test,0,3762,13,25.0,24.999998,26.714287,3,0.42857143,0.85714287,0.5,WT,32.0,43.0,0.74418604,0
2020-01-07,Global,s164986,30,0.5041369795799255,major_test,0,3762,14,25.428572,25.42857,27.428572,3,0.42857143,4.428571,0.0967742,WT,30.0,41.714287,0.7191781,0
2020-01-08,Global,s164986,30,0.1088893935084343,major_test,0,3762,15,25.857143,25.857141,31.285715,5,0.85714287,4.714286,0.18181817,WT,28.0,41.285713,0.6782007,0
2020-01-09,Global,s164986,30,0.13319459557533264,major_test,0,3762,16,26.714285,26.714285,35.428574,5,0.71428573,4.428571,0.16129033,WT,28.857143,41.857143,0.6894198,0
2020-01-10,Global,s164986,30,0.07135866582393646,major_test,0,3762,17,27.428572,27.42857,39.428574,5,1.2857143,5.142857,0.25,WT,26.571428,38.714287,0.6863468,0
2020-01-11,Global,s164986,30,0.03892103582620621,major_test,0,3762,18,28.714285,28.714285,44.0,5,1.4285715,5.571429,0.25641024,WT,24.285715,36.42857,0.66666675,0
2020-01-12,Global,s164986,30,0.0487566813826561,major_test,0,3762,19,30.142857,30.142857,48.714287,5,1.8571428,6.0,0.3095238,WT,23.285715,34.285713,0.67916673,0
