t0,location,rbd_name,t1,target_ratio_t1_output,ds,location_index,rbd_index,t0_index,n_bg_isolates_target,n_isolates_target_cusum,n_bg_isolates,n_bg_clusters,target_isolates_t0,total_isolates_t0,target_ratio_t0,rbd_name_mut,target_isolates_t1,total_isolates_t1,target_ratio_t1_label,target_ratio_t1_mask
2022-10-22,Asia,r125,30,0.00735030649229884,major_test,3,99,1033,0,1,312041.16,472,0,1156.1428,0,XBB.1.5,0.2857143,1664.7142,1.7162964e-4,1
2022-10-22,Europe,r125,30,0.00705528492107987,major_test,2,99,1033,13,22.000004,641921,592,0,2936,0,XBB.1.5,0.5714286,2520.2856,2.2673167e-4,1
2022-10-22,North America,r125,30,0.00740068452432751,major_test,1,99,1033,4.857143,26.857141,824426.44,616,0.2857143,2404.2856,1.1883542e-4,XBB.1.5,12,2561.5715,0.0046846243,1
2022-10-23,Asia,r125,30,0.01685982942581176,major_test,3,99,1034,0,1,311847.72,471,0,1174.4286,0,XBB.1.5,0.2857143,1680.5714,1.7001021e-4,1
2022-10-23,Europe,r125,30,0.01487250532954931,major_test,2,99,1034,13,22.000004,639491.44,593,0,2910,0,XBB.1.5,0.71428573,2545.2856,2.8063086e-4,1
2022-10-23,North America,r125,30,0.0142051475122571,major_test,1,99,1034,5.1428576,27.142857,822169.9,619,0.42857143,2439.8572,1.756543e-4,XBB.1.5,13.142858,2613.5715,0.0050286963,1
2022-10-24,Asia,r125,30,0.01698329672217369,major_test,3,99,1035,0,1,311764.16,470,0,1183.7142,0,XBB.1.5,0.2857143,1706.5714,1.6742006e-4,1
2022-10-24,Europe,r125,30,0.01549312751740217,major_test,2,99,1035,13,22.000004,637208.9,595,0,2868,0,XBB.1.5,0.5714286,2586.1428,2.2095787e-4,1
2022-10-24,North America,r125,30,0.01274031680077314,major_test,1,99,1035,5.571429,27.571428,820041.44,622,0.5714286,2499,2.286629e-4,XBB.1.5,14.285714,2756.5715,0.005182421,1
2022-10-25,Asia,r125,30,0.01384683232754469,major_test,3,99,1036,0,1,311702.56,470,0,1189.5714,0,XBB.1.5,0.2857143,1705,1.6757437e-4,1
2022-10-25,Europe,r125,30,0.01534233801066875,major_test,2,99,1036,13,22.000004,635025.3,596,0,2799.8572,0,XBB.1.5,0.5714286,2627.2856,2.174977e-4,1
2022-10-25,North America,r125,30,0.01272405125200748,major_test,1,99,1036,6.1428576,28.142857,817989.9,622,0.5714286,2543.5715,2.24656e-4,XBB.1.5,18.428572,2919.4285,0.0063123903,1
2022-10-26,Asia,r125,30,0.01375719904899597,major_test,3,99,1037,0,1,311603.84,471,0,1193,0,XBB.1.5,0.2857143,1714.5714,1.666389e-4,1
2022-10-26,Europe,r125,30,0.01538293994963169,major_test,2,99,1037,13,22.000004,632944.44,594,0,2762.1428,0,XBB.1.5,1.4285715,2749.7144,5.195345e-4,1
2022-10-26,North America,r125,30,0.01291391253471374,major_test,1,99,1037,6.714286,28.714285,816104.9,622,0.2857143,2578.1428,1.1082175e-4,XBB.1.5,24.142857,3185.8572,0.0075781355,1
2022-10-27,Asia,r125,30,0.01381791289895773,major_test,3,99,1038,0,1,311552.56,472,0,1198.5714,0,XBB.1.5,0.2857143,1742.2858,1.639882e-4,1
2022-10-27,Europe,r125,30,0.01536444760859012,major_test,2,99,1038,13,22.000004,631013.56,594,0,2704.4285,0,XBB.1.5,2.142857,2794.2856,7.6687115e-4,1
2022-10-27,North America,r125,30,0.01280884072184562,major_test,1,99,1038,7.0000005,29,814331.3,620,0.42857143,2600.1428,1.6482611e-4,XBB.1.5,29.285715,3280.5715,0.0089270165,1
2022-10-28,Asia,r125,30,0.01400263234972953,major_test,3,99,1039,0,1,311558.28,475,0,1227.4286,0,XBB.1.5,0.2857143,1832.8572,1.5588466e-4,1
2022-10-28,Europe,r125,30,0.01528851315379142,major_test,2,99,1039,13,22.000004,629149,594,0,2292.8572,0,XBB.1.5,2.4285715,2868.7144,8.465714e-4,1
2022-10-28,North America,r125,30,0.01291425339877605,major_test,1,99,1039,7.4285717,29.428572,812589,619,0.71428573,2585.5715,2.7625836e-4,XBB.1.5,35.57143,3387.1428,0.010501899,1
2022-10-29,Asia,r125,30,0.01192612573504448,major_test,3,99,1040,0,1,311677.16,480,0,1268.4286,0,XBB.1.5,0.42857143,1831,2.3406414e-4,1
2022-10-29,Europe,r125,30,0.01550535019487142,major_test,2,99,1040,13,22.000004,627056.56,595,0,2130.4285,0,XBB.1.5,2.7142856,2850,9.5238094e-4,1
2022-10-29,North America,r125,30,0.01310293935239315,major_test,1,99,1040,8.142858,30.142857,810781.3,619,0.85714287,2696.8572,3.1783027e-4,XBB.1.5,42.714287,3737.5715,0.011428353,1
2022-10-30,Asia,r125,30,0.01185109838843345,major_test,3,99,1041,0,1,311860.44,483,0,1285.2858,0,XBB.1.5,0.71428573,1849.5714,3.8618987e-4,1
2022-10-30,Europe,r125,30,0.01571337506175041,major_test,2,99,1041,13,22.000004,624936.3,596,0,2109,0,XBB.1.5,3.142857,2907,0.0010811342,1
2022-10-30,North America,r125,30,0.01305346842855215,major_test,1,99,1041,9,31,808889.7,621,0.71428573,2643,2.7025567e-4,XBB.1.5,47.714287,3824.4285,0.012476187,1
2022-10-31,Asia,r125,30,0.01212860457599163,major_test,3,99,1042,0,1,311879.16,484,0,1202,0,XBB.1.5,0.85714287,1841.2858,4.655132e-4,1
2022-10-31,Europe,r125,30,0.01533273793756961,major_test,2,99,1042,13,22.000004,622942.1,599,0,2099,0,XBB.1.5,3.2857144,2878.1428,0.0011416093,1
2022-10-31,North America,r125,30,0.01301557011902332,major_test,1,99,1042,9.714286,31.714285,806788.3,621,0.85714287,2688,3.1887754e-4,XBB.1.5,49.42857,3777,0.013086728,1
2022-11-01,Asia,r125,30,0.01210742816329002,major_test,3,99,1043,0,1,311781.44,488,0.14285715,1289,1.1082789e-4,XBB.1.5,1,1811.4286,5.520505e-4,1
2022-11-01,Europe,r125,30,0.01526819635182619,major_test,2,99,1043,13,22.000004,621017.9,598,0,2102.8572,0,XBB.1.5,3.4285715,2806.5715,0.0012216227,1
2022-11-01,North America,r125,30,0.01303253043442964,major_test,1,99,1043,10.571429,32.571426,804691.3,625,1.2857143,2743.5715,4.6862793e-4,XBB.1.5,51.857143,3653.7144,0.014192994,1
2022-11-02,Asia,r125,30,0.0120205832645297,major_test,3,99,1044,0.14285715,1.1428572,311762.16,489,0.14285715,1312.2858,1.0886131e-4,XBB.1.5,1.4285715,1812.2858,7.8827055e-4,1
2022-11-02,Europe,r125,30,0.01514981314539909,major_test,2,99,1044,13,22.000004,619129.9,600,0,2085.8572,0,XBB.1.5,3.142857,2930,0.0010726475,1
2022-11-02,North America,r125,30,0.01306119188666343,major_test,1,99,1044,11.857143,33.85714,802592.44,624,1.4285715,2753.1428,5.1888754e-4,XBB.1.5,56.57143,3487.2856,0.016222196,1
